file_name,project_name,source_file,status
project-001-anji-white-tea.png,安吉白茶制作技艺,温暖茶叶静物摄影.png,included
project-002-huangshan-maofeng.png,黄山毛峰制作技艺,茶叶与陶瓷茶具静物.png,included
project-003-xinyang-maojian.png,信阳毛尖制作技艺,茶叶挑选与茶具准备.png,included
project-004-fuzhou-jasmine-tea.png,福州茉莉花茶窨制技艺,茶叶与茉莉花的细腻工艺.png,included
project-005-chaozhou-gongfu-tea.png,潮州工夫茶艺,温暖茶道仪式与精致茶具.png,included
project-006-puer-tea.png,普洱茶制作技艺,温暖茶艺古物静物景.png,included
project-007-liubao-tea.png,六堡茶制作技艺,茶叶与温暖的茶道气氛.png,included
project-008-taiping-houkui.png,太平猴魁制作技艺,温暖茶室中的茶叶与器具.png,included
project-009-dehua-porcelain.png,德化瓷烧制技艺,温暖光影中的瓷器菩萨像.png,included
project-010-jizhou-ware.png,吉州窑陶瓷烧制技艺,温暖陶艺茶道静物.png,included
project-011-cizhou-ware.png,磁州窑烧制技艺,温暖的陶艺工作室氛围.png,included
project-012-ru-porcelain.png,汝瓷烧制技艺,温暖静谧的陶瓷花瓶.png,included
project-013-jianzhan.png,建盏烧制技艺,温馨茶室静物景象.png,included
project-014-jun-porcelain.png,钧瓷烧制技艺,温暖的陶艺工作室静物.png,included
project-015-fahua-pottery.png,法花陶瓷烧制技艺,温暖的传统静物场景.png,included
project-016-nanjing-yunjin.png,南京云锦织造技艺,传统织锦工艺的细致手工.png,included
project-017-chengdu-shujin.png,蜀锦织造技艺,织锦工坊中的华丽布料.png,included
project-018-suzhou-songjin.png,宋锦织造技艺,精美织锦与传统织机.png,included
project-019-zhuang-brocade.png,壮锦织造技艺,传统手工织布工艺.png,included
project-020-dong-brocade.png,侗锦织造技艺,传统织布工作室的温暖静物.png,included
project-021-tujia-brocade.png,土家族织锦技艺,传统织布机与精美织锦.png,included
project-022-li-brocade.png,黎锦织造技艺,温暖的手工织布艺术.png,included
project-023-kesi-weaving.png,缂丝织造技艺,传统织布工坊静物细节.png,included
project-024-gu-embroidery.png,顾绣,精致刺绣与温暖光影.png,included
project-025-shu-embroidery.png,蜀绣,古典刺绣工作室唯美景致.png,included
